Datetime,Year,Month,Day,Hour,Minute,Week,Day of week,Steps
2025-10-06 09:43:26,2025,10,6,9,43,41,Monday,23
2025-10-06 09:44:35,2025,10,6,9,44,41,Monday,46
2025-10-06 09:46:07,2025,10,6,9,46,41,Monday,41
2025-10-06 09:48:32,2025,10,6,9,48,41,Monday,47
2025-10-06 09:51:06,2025,10,6,9,51,41,Monday,44
2025-10-06 09:52:34,2025,10,6,9,52,41,Monday,39
2025-10-06 10:37:11,2025,10,6,10,37,41,Monday,41
2025-10-06 10:40:02,2025,10,6,10,40,41,Monday,41
2025-10-06 10:52:48,2025,10,6,10,52,41,Monday,29
2025-10-06 10:53:49,2025,10,6,10,53,41,Monday,10
2025-10-06 10:55:08,2025,10,6,10,55,41,Monday,49
2025-10-06 10:56:48,2025,10,6,10,56,41,Monday,7
2025-10-06 10:57:48,2025,10,6,10,57,41,Monday,48
2025-10-06 10:58:37,2025,10,6,10,58,41,Monday,21
2025-10-06 11:00:50,2025,10,6,11,0,41,Monday,55
2025-10-06 11:04:45,2025,10,6,11,4,41,Monday,35
2025-10-06 11:05:55,2025,10,6,11,5,41,Monday,23
2025-10-06 11:06:10,2025,10,6,11,6,41,Monday,26
2025-10-06 11:08:41,2025,10,6,11,8,41,Monday,28
2025-10-06 11:09:41,2025,10,6,11,9,41,Monday,96
2025-10-06 11:22:23,2025,10,6,11,22,41,Monday,1
2025-10-06 11:23:23,2025,10,6,11,23,41,Monday,68
2025-10-06 11:24:38,2025,10,6,11,24,41,Monday,13
2025-10-06 11:24:51,2025,10,6,11,24,41,Monday,38
2025-10-06 12:46:29,2025,10,6,12,46,41,Monday,8
2025-10-06 13:47:04,2025,10,6,13,47,41,Monday,28
2025-10-06 13:48:04,2025,10,6,13,48,41,Monday,87
2025-10-06 13:49:00,2025,10,6,13,49,41,Monday,25
2025-10-06 14:15:04,2025,10,6,14,15,41,Monday,23
2025-10-06 14:16:15,2025,10,6,14,16,41,Monday,32
2025-10-06 14:17:19,2025,10,6,14,17,41,Monday,95
2025-10-06 14:18:27,2025,10,6,14,18,41,Monday,92
2025-10-06 14:19:22,2025,10,6,14,19,41,Monday,99
2025-10-06 14:20:20,2025,10,6,14,20,41,Monday,206
2025-10-06 14:22:20,2025,10,6,14,22,41,Monday,29
2025-10-06 14:22:37,2025,10,6,14,22,41,Monday,87
2025-10-06 14:23:27,2025,10,6,14,23,41,Monday,115
2025-10-06 14:24:33,2025,10,6,14,24,41,Monday,116
2025-10-06 14:25:42,2025,10,6,14,25,41,Monday,120
2025-10-06 14:26:51,2025,10,6,14,26,41,Monday,147
2025-10-06 14:38:23,2025,10,6,14,38,41,Monday,61
2025-10-06 14:40:25,2025,10,6,14,40,41,Monday,96
2025-10-06 14:41:57,2025,10,6,14,41,41,Monday,41
2025-10-06 15:50:49,2025,10,6,15,50,41,Monday,45
2025-10-06 15:52:46,2025,10,6,15,52,41,Monday,40
2025-10-06 16:00:32,2025,10,6,16,0,41,Monday,37
2025-10-06 16:02:12,2025,10,6,16,2,41,Monday,1
2025-10-06 16:03:12,2025,10,6,16,3,41,Monday,15
2025-10-06 16:06:11,2025,10,6,16,6,41,Monday,56
2025-10-06 16:08:03,2025,10,6,16,8,41,Monday,76
2025-10-06 16:08:51,2025,10,6,16,8,41,Monday,137
2025-10-06 16:10:15,2025,10,6,16,10,41,Monday,39
2025-10-06 16:10:49,2025,10,6,16,10,41,Monday,75
2025-10-06 16:12:38,2025,10,6,16,12,41,Monday,59
2025-10-06 16:14:36,2025,10,6,16,14,41,Monday,78
2025-10-06 16:15:53,2025,10,6,16,15,41,Monday,9
2025-10-06 16:15:57,2025,10,6,16,15,41,Monday,119
2025-10-06 16:19:01,2025,10,6,16,19,41,Monday,73
2025-10-06 16:21:47,2025,10,6,16,21,41,Monday,20
2025-10-06 16:24:21,2025,10,6,16,24,41,Monday,61
2025-10-06 16:27:01,2025,10,6,16,27,41,Monday,31
2025-10-06 16:28:19,2025,10,6,16,28,41,Monday,31
2025-10-06 16:43:33,2025,10,6,16,43,41,Monday,29
2025-10-06 17:13:39,2025,10,6,17,13,41,Monday,10
2025-10-06 17:14:57,2025,10,6,17,14,41,Monday,51
2025-10-06 17:16:39,2025,10,6,17,16,41,Monday,2
2025-10-06 17:19:18,2025,10,6,17,19,41,Monday,35
2025-10-06 17:20:38,2025,10,6,17,20,41,Monday,24
2025-10-06 17:21:38,2025,10,6,17,21,41,Monday,14
2025-10-06 17:29:01,2025,10,6,17,29,41,Monday,6
2025-10-06 17:31:07,2025,10,6,17,31,41,Monday,23
2025-10-06 17:32:07,2025,10,6,17,32,41,Monday,7
2025-10-06 17:33:33,2025,10,6,17,33,41,Monday,28
2025-10-06 17:35:19,2025,10,6,17,35,41,Monday,18
2025-10-06 17:36:37,2025,10,6,17,36,41,Monday,28
2025-10-06 17:39:11,2025,10,6,17,39,41,Monday,36
2025-10-06 17:40:23,2025,10,6,17,40,41,Monday,16
2025-10-06 17:41:06,2025,10,6,17,41,41,Monday,35
2025-10-06 17:42:19,2025,10,6,17,42,41,Monday,20
2025-10-06 17:43:19,2025,10,6,17,43,41,Monday,60
2025-10-06 17:44:55,2025,10,6,17,44,41,Monday,38
2025-10-06 17:45:55,2025,10,6,17,45,41,Monday,31
2025-10-06 17:46:57,2025,10,6,17,46,41,Monday,28
2025-10-06 17:49:05,2025,10,6,17,49,41,Monday,34
2025-10-06 17:50:27,2025,10,6,17,50,41,Monday,38
2025-10-06 17:52:00,2025,10,6,17,52,41,Monday,28
2025-10-06 17:54:00,2025,10,6,17,54,41,Monday,36
2025-10-06 17:55:12,2025,10,6,17,55,41,Monday,10
2025-10-06 17:55:29,2025,10,6,17,55,41,Monday,27
2025-10-06 17:56:29,2025,10,6,17,56,41,Monday,36
2025-10-06 17:57:23,2025,10,6,17,57,41,Monday,5
2025-10-06 18:06:28,2025,10,6,18,6,41,Monday,8
2025-10-06 18:07:31,2025,10,6,18,7,41,Monday,18
2025-10-06 18:08:31,2025,10,6,18,8,41,Monday,33
2025-10-06 18:10:30,2025,10,6,18,10,41,Monday,48
2025-10-06 18:12:24,2025,10,6,18,12,41,Monday,37
2025-10-06 18:13:44,2025,10,6,18,13,41,Monday,29
2025-10-06 18:14:44,2025,10,6,18,14,41,Monday,41
2025-10-06 18:17:36,2025,10,6,18,17,41,Monday,1
2025-10-06 18:18:36,2025,10,6,18,18,41,Monday,39
2025-10-06 18:50:37,2025,10,6,18,50,41,Monday,1
2025-10-06 19:51:34,2025,10,6,19,51,41,Monday,53
